time	user_id	item_id
1211877205	1	1
1211888094	2	14
1211891748	3	26
1211895621	4	26
1211896333	5	26
1211899573	6	26
1211899710	7	26
1211900165	8	26
1211900263	9	26
1211900468	10	26
1211900642	11	26
1211902079	12	53
1211903349	13	26
1211933942	14	66
1211945637	15	72
1211950265	16	72
1211951415	17	76
1211951871	17	72
1211954993	18	82
1211956764	19	83
1211958482	20	44
1211964114	21	93
1211964676	22	97
1211967939	23	104
1211971612	24	108
1211986457	25	111
1212045840	26	118
1212048471	27	122
1212061332	28	128
1212061949	29	35
1212066726	30	144
1212078850	31	148
1212087436	32	161
1212115372	33	174
1212138774	34	189
1212155195	2	15
1212156939	35	196
1212159016	36	198
1212175146	37	212
1212199132	38	215
1212218991	39	235
1212226463	40	475
1212236669	41	480
1212236686	42	480
1212245248	43	44
1212290113	44	486
1212292430	45	72
1212299712	46	493
1212299997	47	495
1212309240	48	605
1212309480	49	611
1212317986	50	41
1212320413	51	626
1212332300	52	671
1212347327	53	675
1212381458	39	236
1212383190	54	72
1212390808	55	35
1212392745	56	735
1212394091	57	741
1212435069	51	627
1212470537	58	72
1212473044	58	745
1212482185	39	237
1212502006	59	26
1212517479	39	238
1212555324	39	239
1212559073	60	72
1212559152	61	818
1212575352	62	822
1212579616	63	72
1212582487	64	825
1212651691	65	829
1212683451	66	830
1212693108	67	832
1212714065	39	240
1212716999	68	895
1212728386	69	899
1212734505	70	906
1212735963	71	26
1212745845	72	917
1212747742	73	26
1212749385	74	26
1212764990	58	621
1212767628	75	952
1212769619	76	955
1212836463	77	959
1212847985	78	963
1212853873	79	76
1212889963	45	76
1212896792	80	966
1212901126	81	708
1212914016	82	990
1212917721	83	949
1212919243	38	216
1212923493	84	1031
1212935773	71	72
1212937596	39	241
1212982955	70	907
1212993549	85	1043
1213020870	86	1045
1213060138	87	764
1213080327	88	76
1213089524	89	966
1213097035	90	26
1213102174	91	1128
1213110633	92	1133
1213112210	93	708
1213120899	75	953
1213159615	94	1138
1213161705	95	72
1213174933	96	172
1213178804	97	1144
1213191640	98	72
1213195071	70	72
1213206685	98	953
1213237220	99	72
1213252454	100	1174
1213255585	101	1179
1213257382	102	1185
1213265229	103	1188
1213267811	104	605
1213268893	105	306
1213289515	105	1201
1213294312	106	485
1213321965	107	72
1213322942	108	242
1213339158	39	242
1213350541	109	143
1213352569	109	72
1213357959	110	1242
1213363821	111	844
1213363828	112	844
