time	user_id	item_id
617414157.0	1	1
617433084.0	1	2
617450888.0	1	3
617714344.0	2	1
617747535.0	2	3
617762282.0	3	1
617775315.0	4	1
617840783.0	3	3
617981910.0	4	4
617981914.0	3	4
617981921.0	2	4
618152012.0	4	5
619067502.0	5	1
619081424.0	6	6
619117732.0	5	3
619134504.0	6	2
619139272.0	7	1
619156191.0	7	6
619156204.0	5	6
619176738.0	6	5
619178964.0	7	4
619178973.0	5	4
619200479.0	7	3
620435676.0	8	1
620437775.0	8	6
620485604.0	8	3
620527510.0	8	7
620639627.0	9	1
620659348.0	9	6
620716188.0	10	1
620720756.0	10	6
620734231.0	11	6
620785063.0	12	1
620787248.0	12	6
620790773.0	9	7
620857861.0	12	3
620861801.0	11	2
620965581.0	13	1
620966114.0	13	6
621003801.0	10	7
621003963.0	13	4
621003987.0	12	4
621003996.0	11	4
623472121.0	14	6
623565849.0	14	2
623666223.0	14	4
625885746.0	15	1
625892757.0	15	5
625921000.0	15	3
629268023.0	16	1
629320198.0	16	2
629327698.0	16	8
634614873.0	17	1
634651643.0	17	3
634784117.0	18	1
634836222.0	18	3
634974432.0	18	7
634974461.0	17	7
635036240.0	19	1
635074820.0	19	3
635429861.0	19	9
635555204.0	20	1
635602043.0	20	3
635749851.0	20	10
635839130.0	21	1
635906758.0	21	3
635924640.0	22	1
635943609.0	22	2
635965295.0	23	3
636005602.0	21	9
636005647.0	23	10
636005652.0	22	10
636038076.0	23	11
636067025.0	24	1
636221655.0	24	3
636242328.0	25	1
636305563.0	25	3
636328807.0	24	10
636452659.0	25	10
636515073.0	26	1
636537058.0	26	3
636595583.0	27	3
636624808.0	27	12
636862243.0	27	10
636862273.0	26	10
636930245.0	28	1
636961844.0	28	3
637228133.0	28	9
638061794.0	29	1
638075065.0	29	13
638497760.0	29	7
638693606.0	30	13
638724297.0	30	3
638940997.0	30	7
639033435.0	30	10
639281216.0	31	1
639329146.0	31	3
639708234.0	31	7
640219119.0	32	1
640257178.0	32	3
640715455.0	32	9
640754348.0	33	1
640802281.0	33	3
640837665.0	33	14
641177797.0	34	3
641195512.0	34	14
641204448.0	33	9
641623904.0	35	3
641695325.0	36	1
641760116.0	36	3
641828178.0	34	7
641846731.0	37	3
641912030.0	37	14
641919227.0	37	15
641940674.0	38	3
641959157.0	38	2
641976522.0	39	1
641992136.0	35	10
642010106.0	39	3
642071330.0	36	7
642071345.0	35	7
642134240.0	40	1
642198357.0	40	3
642266803.0	37	9
642406321.0	41	1
642411761.0	37	10
642444616.0	41	3
642497522.0	39	9
642497532.0	38	9
642497638.0	40	10
642720644.0	42	1
642757316.0	41	10
642873158.0	42	3
642987088.0	43	1
643020927.0	43	3
643104006.0	42	9
643190057.0	44	13
643236418.0	44	3
643249938.0	45	1
643307942.0	45	3
643397655.0	43	10
643608091.0	44	10
643704288.0	45	10
644417664.0	46	2
644483454.0	46	3
644747553.0	46	9
644820495.0	47	3
645022494.0	47	10
645195347.0	47	9
645973887.0	48	3
646570580.0	48	10
646664279.0	48	9
650784278.0	49	13
650801736.0	49	16
651338636.0	49	10
654670065.0	50	1
654673202.0	50	2
655220532.0	50	9
655732589.0	51	1
655916094.0	51	10
655949303.0	51	3
665383957.0	52	7
665396963.0	52	17
665620357.0	52	18
665671266.0	53	17
665760581.0	53	10
665918847.0	53	7
667785651.0	54	1
