item_id	user_name
1	1348
2	1431
3	4317
4	8556
5	2975
6	10353
7	11124
8	14735
9	12231
10	894
11	14636
12	7094
13	3656
14	47295
15	46733
16	18711
17	6734
18	19284
19	117
20	18488
21	4889
22	17298
23	9874
24	21717
25	21891
26	3982
27	11963
28	14570
29	100053
30	22283
31	22289
32	22988
33	26884
34	19531
35	14002
36	22522
37	2953
38	25753
39	22544
40	16256
41	16058
42	12100
43	22082
44	24586
45	24817
46	15986
47	3232
48	25615
49	26094
50	5545
51	14776
52	31521
53	1195
54	18802
55	43054
56	15405
57	1453
58	15403
59	811
60	3476
61	24788
62	19319
63	16434
64	17366
65	25415
66	25861
67	19365
68	22188
69	25748
70	25903
71	32225
72	2009
73	1569
74	1070
75	17385
76	18393
77	26332
78	18099
79	5874
80	26575
81	28904
82	16118
83	30264
84	26586
85	2090
86	59210
87	24542
88	22077
89	78408
90	1263
91	6997
92	2445
93	29730
94	19166
95	2794
96	27701
97	27906
98	27958
99	27098
100	27909
101	27341
102	23891
103	27921
104	15838
105	23063
106	13738
107	28339
108	18106
109	5731
110	10211
111	29041
112	7557
113	28016
114	29326
115	826
116	28797
117	8039
118	28729
119	1046
120	24128
121	15723
122	22995
123	5534
124	4100
125	2530
126	27173
127	20930
128	20153
129	18415
130	31966
131	22251
132	25675
133	32199
134	31901
135	31832
136	31873
137	32246
138	31735
139	31891
140	32306
141	31717
142	32333
143	31778
144	31757
145	32362
146	32315
147	17778
148	1157
149	32943
150	20883
151	33104
152	30582
153	33359
154	33436
155	26099
156	33683
157	14492
158	33871
159	33934
160	20527
161	10055
162	33966
163	21844
164	18225
165	35440
166	37093
167	6566
168	22841
169	18244
170	37487
171	37947
172	19378
173	31105
174	37888
175	22916
176	38219
177	38220
178	37816
179	3052
180	36818
181	20306
182	38308
183	38354
184	12881
185	9178
186	38541
187	38652
188	19885
189	38733
190	37158
191	14663
192	11146
193	41326
194	1514
195	42434
196	42799
197	42830
198	43492
199	44609
200	44648
201	45154
202	17455
203	23410
204	965
205	47438
206	23403
207	24986
208	50011
209	962
210	66788
211	9056
212	18986
213	9392
214	8952
215	15691
216	29931
217	32521
218	34412
219	3648
220	28378
221	31198
222	1174
223	34756
224	35348
225	597
226	68508
227	22862
228	33739
229	14396
230	9775
231	8853
232	29230
233	32765
234	2598
235	9822
236	15184
237	16615
238	2011
239	101560
240	7312
241	63800
242	3203
243	68960
244	68297
245	76253
246	24851
247	45345
248	83774
249	19941
250	109013
251	17628
